recid,assignmt,sex,age,earnings,prevearn,married,pbhous,wkless13,bfeduca,recommended_training,pred_earnings_classroom,pred_earnings_ojt,pred_earnings_other,pred_earnings_control,prob_control,prob_classroom,prob_ojt,prob_other,dr_score_classroom,dr_score_ojt,dr_score_other,dr_score_control
300066,Treatment,Female,29,0.439,0.0,Not married,No,Worked,9,OJT,8.684529499,13.40510194,11.3724891,8.339087972,0.3527124045839549,0.3099813054473524,0.19089138635349517,0.1464149036151975,8.684529499,13.40510194,11.3724891,8.339087972
300074,Treatment,Male,25,20.609,0.0,Married,No,Worked,15,OJT,27.66026324,16.50512093,17.34732031,18.5807301,0.23991633671373483,0.16630798701336977,0.3928797252610628,0.20089595101183258,27.66026324,16.50512093,17.34732031,18.5807301
300075,Control,Female,22,37.644,3.5,Not married,No,Did not work,12,classroom,16.16581309,17.606872,16.61283548,15.62883123,0.33609049709227046,0.24795641060876478,0.2518079762808895,0.1641451160180752,102.78663026213238,17.606872,16.61283548,15.62883123
300076,Treatment,Male,22,21.219,5.2,Not married,Yes,Did not work,10,OJT,24.23894484,19.04255587,17.46792982,14.73370168,0.35538705982128205,0.18876161778947956,0.2746486601557987,0.18120266223343975,24.23894484,19.04255587,17.46792982,14.73370168
300077,Control,Female,48,9.747,4.5,Not married,No,Did not work,12,other,11.83681991,18.30171172,16.2880244,16.07926757,0.33910446832864904,0.18216000025091753,0.2921297443122872,0.1866057871081463,11.83681991,18.30171172,-18.764609826232164,16.07926757
300078,Control,Female,50,0.0,0.154,Not married,No,Worked,10,OJT,6.667289198,11.94923083,10.58533572,8.453777819,0.3610019042075948,0.2743972548529972,0.19832342416940246,0.16627741677000535,6.667289198,11.94923083,10.58533572,8.453777819
300081,Treatment,Male,33,31.196,10.0,Married,No,Did not work,11,OJT,24.780664,28.16797088,26.54235889,25.42304979,0.31383748295337155,0.14943664393523465,0.37006649314092394,0.16665937997046987,24.780664,28.16797088,26.54235889,25.42304979
300082,Control,Female,24,34.728,10.0,Not married,No,Did not work,13,classroom,11.90351728,23.60377478,21.52809109,24.19325028,0.32100923804974646,0.2431183333706537,0.29501122261756313,0.14086120596203666,105.78571202671299,23.60377478,21.52809109,24.19325028
300084,Control,Male,30,0.126,0.0,Not married,No,Worked,11,other,10.55859781,14.41940358,12.30466539,12.77211456,0.3061658939612202,0.15083014688308208,0.31017790063029443,0.23282605852540336,10.55859781,14.41940358,-40.00333426920139,12.77211456
300085,Treatment,Male,42,1.763,2.0,Not married,No,Did not work,10,OJT,3.943166544,17.20865415,14.84139129,14.15580329,0.37473879453313746,0.12578692662762503,0.33872859661717303,0.16074568222206453,3.943166544,17.20865415,14.84139129,14.15580329
300091,Treatment,Female,27,7.028,0.03,Not married,No,Worked,10,classroom,9.204785303,13.66457607,11.50571525,8.913149573,0.3493406121128018,0.31448289799233115,0.18993381055222072,0.14624267934264631,2.282992999200121,13.66457607,11.50571525,8.913149573
300092,Treatment,Male,22,4.506,0.0,Not married,No,Worked,12,OJT,12.1250269,15.20485401,12.59044525,13.87900328,0.29908189367211746,0.16880548169154894,0.31263190186603834,0.2194807227702952,12.1250269,15.20485401,12.59044525,13.87900328
300095,Treatment,Male,33,2.203,1.2,Not married,No,Did not work,14,OJT,14.55764845,18.28992677,14.99240315,17.85272039,0.3381130612529674,0.15701323563910075,0.3043728413403678,0.20050086176756407,14.55764845,18.28992677,14.99240315,17.85272039
300096,Control,Male,25,3.765,2.948,Married,No,Did not work,12,OJT,24.29492837,20.82563584,21.38723063,19.99630049,0.3040837484987268,0.16448027023908068,0.3772004741225118,0.15423550713968065,24.29492837,20.82563584,21.38723063,19.99630049
300097,Treatment,Female,29,5.475,0.0,Not married,No,Worked,12,classroom,9.978898953,13.78424051,11.52577568,10.14247383,0.3461319594477918,0.3121756574317661,0.1868244211030503,0.1548679620173917,-4.4485518932737556,13.78424051,11.52577568,10.14247383
300099,Treatment,Male,38,8.372,0.0,Not married,No,Worked,12,OJT,10.37104052,14.22600842,12.04886602,13.62392702,0.3084631497853452,0.136860801173161,0.3064178721659747,0.24825817687551913,10.37104052,14.22600842,12.04886602,13.62392702
300101,Treatment,Female,30,11.018,0.0,Not married,No,Worked,12,OJT,9.851639009,13.72417405,11.49249112,10.12741404,0.34632104726310975,0.310948151529398,0.18674774842725864,0.15598305278023356,9.851639009,13.72417405,11.49249112,10.12741404
300103,Control,Female,55,1.109,0.0,Not married,No,Worked,12,OJT,7.119512068,11.56237254,10.29368293,9.323523557,0.3544223987460262,0.2768822068430788,0.1871612841603203,0.18153411025057467,7.119512068,11.56237254,10.29368293,9.323523557
300104,Control,Male,38,0.075,1.8,Not married,No,Worked,9,OJT,13.65418067,14.49770648,13.2381351,11.64512393,0.33156618963302625,0.1184725984102765,0.3491810911324461,0.20078012082425112,13.65418067,14.49770648,13.2381351,11.64512393
300105,Control,Female,31,26.944,0.0,Not married,No,Worked,12,OJT,9.725935442,13.66222264,11.45807827,10.11131605,0.34651752969280125,0.3097046265810775,0.18667808118692092,0.15709976253920035,9.725935442,13.66222264,11.45807827,10.11131605
300108,Control,Female,22,2.787,12.0,Not married,Yes,Did not work,12,OJT,186.300642,20.68184968,21.96611865,22.43702146,0.1699729605423466,0.36608952517598503,0.3546230580018174,0.10931445627985087,186.300642,20.68184968,21.96611865,22.43702146
300113,Treatment,Female,37,8.127,3.2,Married,Yes,Did not work,15,other,3.413281139,17.48931191,15.67845014,14.43708563,0.44584696223644366,0.2292596944901815,0.21816722466790545,0.10672611860546934,3.413281139,17.48931191,-55.07695855161726,14.43708563
300114,Control,Male,25,9.579,4.1039111,Not married,Yes,Did not work,11,other,10.75010877,18.75112496,16.70612014,14.45190929,0.3451613983033746,0.18878941609183697,0.286640222432655,0.17940896317213328,10.75010877,18.75112496,-23.01943210658374,14.45190929
300115,Control,Male,25,26.525,14.102,Married,No,Did not work,12,other,23.73894737,34.50640738,30.59495059,29.06065868,0.2766792390890206,0.21593891456227005,0.3254884494022187,0.18189339694649065,23.73894737,34.50640738,8.219478701939664,29.06065868
300119,Treatment,Male,23,8.86,1.5,Not married,No,Did not work,12,OJT,18.90041826,17.64858457,15.36894637,15.89819236,0.34044357910053946,0.1751835927587308,0.3142300663044335,0.17014276183629634,18.90041826,17.64858457,15.36894637,15.89819236
300122,Treatment,Male,22,43.596,11.653,Not married,No,Did not work,12,OJT,30.931743,30.1029413,23.77571902,25.32939532,0.2615885688457418,0.18753279633493092,0.3602740125317711,0.19060462228755617,30.931743,30.1029413,23.77571902,25.32939532
300125,Treatment,Female,32,28.029,0.0,Married,No,Worked,12,OJT,7.052070153,13.59837003,13.6309421,10.09414523,0.32976870046910184,0.25635756240632196,0.2455727497277525,0.16830098739682373,7.052070153,13.59837003,13.6309421,10.09414523
300129,Treatment,Male,29,56.089,5.28,Married,No,Did not work,16,OJT,24.77034073,27.97168357,24.14142998,27.47995793,0.3006787425717583,0.16741227129809214,0.3159470981829371,0.21596188794721258,24.77034073,27.97168357,24.14142998,27.47995793
300131,Treatment,Male,52,16.042,4.1039111,Not married,No,Did not work,9,other,1.098006204,18.78921676,15.70297773,15.12052948,0.40003296818479667,0.09223975235385137,0.3785057820901864,0.1292214973711656,1.098006204,18.78921676,18.32655257549355,15.12052948
300133,Treatment,Male,36,4.31,1.546,Not married,No,Did not work,10,OJT,8.162833523,16.75494154,14.76272798,13.85176275,0.36381552813722834,0.1421845131144802,0.3286583820245609,0.16534157672373073,8.162833523,16.75494154,14.76272798,13.85176275
300136,Treatment,Female,37,23.83,4.5,Not married,No,Did not work,12,classroom,14.5995611,18.37879425,16.81550001,16.42617474,0.33938705450866635,0.21394913811611624,0.2702029561590696,0.1764608512161478,57.74270708916673,18.37879425,16.81550001,16.42617474
300140,Treatment,Male,23,9.962,12.088,Not married,No,Did not work,13,classroom,32.61231257,32.01247513,24.58783216,26.74637649,0.276163301303134,0.19375996699382103,0.3215868631230487,0.20848986857999624,-84.28651292743784,32.01247513,24.58783216,26.74637649
300141,Treatment,Male,23,14.459,5.5,Not married,No,Did not work,10,other,23.25724865,21.03179619,18.17994119,17.81157402,0.34214728888421947,0.16659210414687603,0.3485424546986787,0.1427181522702258,23.25724865,21.03179619,-7.892013433926788,17.81157402
300144,Control,Female,29,3.721,9.0,Not married,No,Did not work,12,other,16.85315374,22.06982295,20.27206655,21.78960373,0.32639394892470625,0.22281907010619717,0.3056587531631479,0.14512822780594878,16.85315374,22.06982295,-93.77236712234155,21.78960373
300146,Treatment,Female,22,6.261,0.5,Married,No,Did not work,9,OJT,12.28477423,15.05697456,14.349977,10.87714419,0.37661472058462747,0.25198416812904456,0.2199101858765864,0.15149092540974152,12.28477423,15.05697456,14.349977,10.87714419
300153,Control,Male,24,35.676,4.0,Not married,No,Did not work,12,other,20.14071459,20.71342067,17.40620239,18.28863978,0.3461493978842286,0.1680819557603464,0.3307543157868451,0.15501433056858,20.14071459,20.71342067,135.26496772471367,18.28863978
300156,Treatment,Female,25,9.003,8.44,Not married,No,Did not work,12,OJT,14.71103248,21.62263806,20.00083946,21.14780082,0.32931806908571054,0.2354149235868136,0.2974698503800873,0.13779715694738853,14.71103248,21.62263806,20.00083946,21.14780082
300158,Control,Male,29,24.135,0.1,Not married,No,Worked,11,other,10.84444387,14.56077638,12.41707775,12.82368756,0.30598913062238403,0.1524827516223351,0.31294438182929724,0.22858373592598372,10.84444387,14.56077638,63.68022734606011,12.82368756
300159,Control,Male,25,2.612,11.49,Married,No,Did not work,11,classroom,20.9963745,29.89945039,27.98145844,26.81954948,0.2783477757869935,0.1720645893701831,0.37057366456561935,0.17901397027720403,-85.84940107354058,29.89945039,27.98145844,26.81954948
300160,Treatment,Male,22,0.698,2.5,Not married,No,Did not work,12,OJT,19.56496518,18.87646633,16.21984123,16.86708513,0.3427479370538646,0.1745058797059009,0.3204786593815761,0.1622675238586585,19.56496518,18.87646633,16.21984123,16.86708513
300161,Treatment,Female,23,0.141,0.0,Married,No,Worked,11,OJT,5.064038184,13.97870194,13.85909836,9.544773027,0.3299195050013595,0.24358138336896162,0.25553691231040576,0.170962199319273,5.064038184,13.97870194,13.85909836,9.544773027
300163,Treatment,Male,32,34.593,6.5,Married,No,Did not work,12,OJT,22.41794654,25.16498876,24.09434237,23.29515325,0.3214166925914002,0.14806335676867555,0.38071219139608264,0.14980775924384157,22.41794654,25.16498876,24.09434237,23.29515325
300165,Control,Male,29,17.171,4.1039111,Not married,No,Did not work,12,other,17.25921678,20.83064873,17.34248344,18.32721625,0.35295705406934486,0.15753431401304285,0.3328407049340914,0.15666792698352092,17.25921678,20.83064873,16.247917096385606,18.32721625
300166,Control,Male,27,0.252,4.1039111,Not married,Yes,Did not work,12,OJT,7.361701102,19.32842083,16.79252137,15.12286149,0.35068108558394084,0.17910196966520087,0.28616279850997295,0.18405414624088529,7.361701102,19.32842083,16.79252137,15.12286149
300171,Control,Male,22,0.0,1.927,Not married,No,Did not work,10,classroom,17.96966155,17.20085445,15.50839589,14.39065144,0.3483606122183478,0.17347050247525794,0.32059969886932876,0.15756918643706547,-85.61948642380615,17.20085445,15.50839589,14.39065144
300172,Treatment,Male,24,0.0,0.15,Not married,No,Worked,10,other,10.95051513,14.54454435,12.54978263,11.99410723,0.306692785389088,0.161192954414851,0.3131061359938071,0.21900812420225385,10.95051513,14.54454435,-44.75303513401265,11.99410723
300173,Treatment,Male,22,27.431,8.0,Married,No,Did not work,13,OJT,23.10621309,28.22369706,25.97113687,25.99155788,0.3194468049878558,0.15876837278707004,0.3433429881352929,0.17844183408978115,23.10621309,28.22369706,25.97113687,25.99155788
300174,Control,Female,75,0.0,0.0,Not married,No,Worked,8,other,1.854858403,8.262239768,8.622523745,6.33087372,0.3995804023605914,0.21686754582779547,0.21836158320342944,0.16519046860818373,1.854858403,8.262239768,-43.57494150616904,6.33087372
300175,Treatment,Female,55,0.0,8.75,Not married,No,Did not work,12,OJT,25.17716685,21.67926055,18.86449058,20.49260401,0.29468747286792946,0.1324600072453804,0.3802950491594057,0.19255747072728446,25.17716685,21.67926055,18.86449058,20.49260401
300178,Treatment,Male,33,0.03,4.1039111,Not married,No,Worked,12,OJT,16.22373361,18.20020961,15.85150784,15.282308,0.3320030079439343,0.13844560361011674,0.3747849589016423,0.15476642954430664,16.22373361,18.20020961,15.85150784,15.282308
300181,Treatment,Female,39,1.929,0.422,Not married,No,Worked,11,OJT,10.20022742,13.2648939,11.37504077,9.454953528,0.35127470986670767,0.29039164724571653,0.19874038344857844,0.1595932594389973,10.20022742,13.2648939,11.37504077,9.454953528
300182,Treatment,Male,37,0.0,3.815,Not married,No,Worked,16,OJT,25.68438789,20.66013323,16.19219653,20.33596145,0.32516475393892763,0.132640755557435,0.3707712891229016,0.17142320138073566,25.68438789,20.66013323,16.19219653,20.33596145
300188,Treatment,Male,32,2.94,4.1039111,Not married,No,Did not work,14,other,17.25937738,22.33464269,17.63158057,20.66147335,0.35114473255157574,0.15336158806686812,0.3220172207002339,0.17347645868132233,17.25937738,22.33464269,-67.05760827831834,20.66147335
300189,Control,Female,25,19.344,1.0,Not married,No,Did not work,12,OJT,14.52126254,15.56780147,14.77845883,13.1499722,0.3371995427748774,0.24003003588368188,0.2379972265269652,0.18477319481447557,14.52126254,15.56780147,14.77845883,13.1499722
300191,Treatment,Female,22,3.9,2.444656,Not married,No,Worked,10,other,7.899112098,15.4799927,13.21888933,9.886028899,0.3543578271992897,0.28719001470233646,0.2289350789556298,0.129517079142744,7.899112098,15.4799927,-58.732156753500846,9.886028899
300192,Treatment,Female,28,47.184,15.0,Not married,No,Did not work,12,other,27.2865013,26.95520164,24.5158201,28.66760814,0.5106280283154839,0.289889259385634,0.06281156926795402,0.136671143030928,27.2865013,26.95520164,190.37511853924917,28.66760814
300193,Control,Male,34,1.008,0.212,Not married,No,Worked,12,classroom,11.41765525,14.70330992,12.38693746,13.79378907,0.3065412874959146,0.1434997288879318,0.31448579827886763,0.23547318533728598,-61.12363336894626,14.70330992,12.38693746,13.79378907
300202,Treatment,Female,25,22.026,6.0,Not married,No,Did not work,14,other,16.99935216,20.60612228,18.81451152,19.89447219,0.3223017965256931,0.2340993522603899,0.26764577556349967,0.17595307565041737,16.99935216,20.60612228,37.06647141401497,19.89447219
300207,Treatment,Male,25,19.501,7.0,Married,No,Did not work,13,classroom,22.88993082,26.91147518,25.03073432,25.01156613,0.31987293924098326,0.1560133621232878,0.35377100133560624,0.17034269730012272,1.1678759018966751,26.91147518,25.03073432,25.01156613
300209,Control,Male,32,60.007,10.0,Married,No,Did not work,10,OJT,25.14314304,26.95487299,26.17443509,24.55606547,0.3018722285163745,0.14436041029369992,0.4005565514828225,0.15321080970710305,25.14314304,26.95487299,26.17443509,24.55606547
300212,Control,Male,43,13.383,5.5,Not married,No,Did not work,17,other,18.66346969,27.30314253,19.15390457,26.16720977,0.35955412434487427,0.13405294910598092,0.2906497343248461,0.21574319222429858,18.66346969,27.30314253,-7.595048713310327,26.16720977
300214,Treatment,Male,24,42.547,11.0,Not married,No,Did not work,12,OJT,32.49524334,29.29916577,23.18476073,24.76305269,0.26928329734830525,0.1868966206618111,0.3632914436677526,0.1805286383221309,32.49524334,29.29916577,23.18476073,24.76305269
300215,Treatment,Male,25,9.285,2.3,Not married,No,Worked,12,other,13.45239227,17.0840066,14.46062394,14.71895114,0.30759267417454206,0.15903925365058152,0.3587249035347591,0.1746431686401174,13.45239227,17.0840066,-15.17479770460651,14.71895114
300218,Treatment,Male,26,2.769,4.0,Not married,No,Did not work,12,classroom,18.91012082,20.70990967,17.34978789,18.26693601,0.34883659239637227,0.16398047907205487,0.3311749774919049,0.15600795103966797,-79.523064101404,20.70990967,17.34978789,18.26693601
300220,Control,Female,24,22.82,0.45,Not married,No,Did not work,13,classroom,15.64779141,15.27611012,14.48704177,13.36368672,0.3301968372379076,0.2344643545782559,0.2339693826591468,0.20136942552468962,46.23755249714287,15.27611012,14.48704177,13.36368672
300221,Control,Male,29,6.119,1.3,Not married,No,Did not work,15,OJT,18.97312641,19.03875118,15.31898214,19.41307398,0.3305673652037182,0.16393517119972964,0.29859635210879887,0.20690111148775323,18.97312641,19.03875118,15.31898214,19.41307398
300222,Control,Male,54,8.952,0.0,Married,No,Worked,9,OJT,18.44245241,11.81071894,15.74829089,11.46189507,0.3071871862057978,0.1850478678319429,0.37631729331837477,0.13144765264388444,18.44245241,11.81071894,15.74829089,11.46189507
300225,Treatment,Male,30,11.797,5.5,Not married,No,Did not work,14,OJT,22.10946726,24.28361107,18.95272042,22.03749892,0.34728033633626293,0.15853116451587043,0.3286278226869969,0.16556067646086964,22.10946726,24.28361107,18.95272042,22.03749892
300228,Control,Male,22,53.103,12.0,Married,No,Did not work,12,classroom,21.42786713,31.932746,28.93927652,28.31201488,0.2781904669928449,0.1877681304797492,0.33740120306275545,0.1966401994646505,190.12067346017844,31.932746,28.93927652,28.31201488
300229,Control,Female,32,6.432,2.0,Not married,No,Did not work,14,OJT,18.45348947,16.85870216,15.49888797,15.52318489,0.3189630555371486,0.21549934606683313,0.24202607793575137,0.223511520460267,18.45348947,16.85870216,15.49888797,15.52318489
300232,Treatment,Female,38,0.0,0.0,Married,No,Worked,8,other,13.86611918,12.67053725,13.18961908,7.742079555,0.3569801591677766,0.24589241391608976,0.2694470066391807,0.12768042027695287,13.86611918,12.67053725,-90.11219533594777,7.742079555
300234,Treatment,Female,22,0.0,0.0,Not married,No,Worked,10,classroom,9.953178152,13.89962016,11.6249844,8.945245995,0.3476287047835098,0.32157415710871795,0.18899917342819425,0.14179796467957784,-20.998246059103582,13.89962016,11.6249844,8.945245995
300238,Treatment,Female,29,20.014,0.7,Married,No,Worked,12,OJT,10.52639642,14.31330888,14.22553365,10.40739208,0.3276475579542852,0.23835452099569093,0.26650878218746027,0.16748913886256345,10.52639642,14.31330888,14.22553365,10.40739208
300242,Treatment,Female,29,16.194,2.444656,Not married,No,Did not work,12,other,15.03437109,16.73493899,15.67065505,14.49865478,0.33763706978260477,0.23401625100376341,0.2477258652602624,0.1806208139533694,15.03437109,16.73493899,18.568133687955367,14.49865478
300243,Treatment,Male,22,51.495,4.875,Not married,No,Did not work,11,classroom,22.62243347,21.05098335,17.95699787,18.12598323,0.3429107012855714,0.17043218568081367,0.3399577523212571,0.14669936071235787,192.03037959628332,21.05098335,17.95699787,18.12598323
300245,Control,Male,31,3.423,4.1039111,Not married,No,Did not work,11,other,15.36359232,20.14700076,17.07861819,17.2847388,0.3588634364240839,0.1511601015556228,0.3381594080441827,0.15181705397611067,15.36359232,20.14700076,-72.86923570623483,17.2847388
300246,Treatment,Male,78,13.5,0.0,Married,No,Worked,12,classroom,0.286459066,9.383652053,14.11436601,12.1436772,0.29980875839183413,0.360527485365453,0.26723716387716795,0.07242659236554494,36.93703764978241,9.383652053,14.11436601,12.1436772
300247,Treatment,Female,41,2.874,3.0,Married,No,Worked,14,classroom,10.8112257,15.81582402,15.68038712,12.54957314,0.31122008881587837,0.20956827429503688,0.315539439561255,0.16367219732782975,-27.062950277732774,15.81582402,15.68038712,12.54957314
300248,Treatment,Male,27,45.968,2.856,Not married,No,Worked,14,OJT,16.95847739,18.71395386,15.19900908,17.30078846,0.30615641081522865,0.15660010714483627,0.36887234049321893,0.1683711415467163,16.95847739,18.71395386,15.19900908,17.30078846
300250,Control,Male,23,29.458,9.625,Married,Yes,Did not work,11,classroom,-42.08820719,24.23242501,25.99991986,29.18988622,0.33394376036444784,0.16713845578305553,0.2681516523722031,0.2307661314802935,385.9772960767433,24.23242501,25.99991986,29.18988622
300256,Treatment,Female,32,43.734,6.5,Not married,No,Did not work,11,OJT,15.61228002,19.53630524,18.13312678,17.98737863,0.3439279848759955,0.2216710147148897,0.286521751334664,0.14787924907445074,15.61228002,19.53630524,18.13312678,17.98737863
